text,label
@justinbieber DO YOU LOVE ME,0
RT @_Dionnia_: i fucking hate bitches .,1
@FrankieJGrande @chrisholmez FRANKIE I DO NOT KNOW TWERK PLEASE TEACH ME! BRAZIL LOVES YOU TOO MY ANGEL #frankieto500k,0
RT @_Sdancer: “@moneymanmatch: “@_Sdancer: @moneymanmatch  heyyyyyy 😘😘”you alright😘” yeah bro wbuuu?? Miss u long timeeee,0
RT @Nguyenjenni321: i should probably just be going to sleep .,0
Hit the homie,1
#beshito #babyrecordsinc,0
RT @CFurgus: I got a thing for tattoos 😍,0
I wish I already have a car so I could leave.,0
Everyone quote brulls tweet,0
How do people find beat boxing cool...it's honestly just as gay as synchronized swimming,0
I don't know how to deal with pain anymore there's to much of it,0
I miss how easy things used to be.,0
If you don't think Get Low has some of the most thought-provoking and poetic lyrics then you're lying to yourself,0
RT @_Sdancer: “@moneymanmatch: “@_Sdancer: @moneymanmatch  heyyyyyy 😘😘”you alright😘” yeah bro wbuuu?? Miss u long timeeee,0
@kinkgrlfriend she says hey :),0
Never ever apologize for who you are,0
“@TheSoDopePosts: finally someone said it.. 🙌 http://t.co/1tG8fjTHDS”,0
Yupp I Think Ima Call It A Night I'm Getting Irritated.,0
Omg dean,1
I'm so fucking bored like can my parents go to sleep?!?!?,1
"I don't want somebody blowing my phone up while I'm sleeping, I will block you!",0
RT @DrakeReact: When someone thinks my tweet is about them... http://t.co/R2Fyn7sWgM,0
"RT @Smoovee_DJayy: Thug life: 🔫🍺💰🔫🔪🔫🍺💰🔫🔪🔫🍺💰🔫

Drug life: 💊💉💊💉💊💉💊💉💊💉💊💉💊💉💊

My life: 📱📺💻💤🍕🍗🍟🍔🎧📱📺💻💤🍕🍗🍟🍔🎧📱📺💻💤🍕",0
i finally watched teen wolf season 3 but i wish i did not bc i'm not feelin these tears were those last two episodes even legal,0
RT @AmazingPicx: The law of the wild says kill only when you are hungry! http://t.co/8V4OzlKmms,0
#TheresNoPlaceLikeSmallzysSurgery @Smallzy QLD QUEENSLAND!! YOU DONT UNDERSTAND HOW MUCH I WANT THESE PLEASE IM LITERARY DYING HERE PLEASE!!,0
RT @EXOffical: [PREVIEW] 140330 Suho on the way to Inkigayo (cr: Herz_Exo) http://t.co/ZzFYmlHkiV,0
"""Mira ash Wednesday"" courtesy of a drunk Jazmin Barajas",0
RT @justinbieber: @Lauren_Bieber16 it happened,0
RT @MensMotivation: It's easier to keep up than catch up.,0
"Ugh! It's morning.....whose idea was it to do a car boot today? Oh yes, that would be adorable Mr Yammas. I'm not... http://t.co/aC91HmzprW",0
RT @yaboytwig: I'm in a cuddling mood,0
I'm so bored 😩,0
"This baby boy named Iain broke my heart when I had to say goodbye.. He kept running after me while saying ""Bye Demi"" http://t.co/VLnGqS8I8D""",0
@TheFacelessEvil there is just so much fur!,0
@GilianSaphire @ArgentFang @AtomicWyvern PARTEHHHH!!! I should probably avoid that. Dinner was expensive. At least for the next 2-4 days.,0
"""@ChegItOut: Thanks a lot mate! @99redhot99 http://t.co/2PypH4ZZYX""",0
RT @iamdjhappybeats: Today had to be the highlight of my spring break at @ItsTheKickIt !! Nothing but love. @JFloOnTheRadio_ @_EliCarrillo …,0
"""Hopeless but hoping""",0
@troyesivan is literally just the cutest thing in the world &amp; I just wanna hug him http://t.co/c5lpnqviSZ,0
"RT @unicornlayx_: #EXOFacts - All EXO Members 

Legit, you can tell by The derp squad x http://t.co/UFwVzwWnm9",0
Btw we are not friends !,0
its my be when up but we not they was are at can so not u I get my that with do they,0
RT @__Lifee_: I've seen you at your worst and I still think you're the best.,0
Jack got a piercing ooooo 😍,0
"1,892 US veterans have committed suicide in 2014. That’s less than four months, and thrice the average US suicide rate. Horrific statistic.",0
RT @TaviaPritchett: I think I'm in love. 😍😍😍 http://t.co/zS8qjlAaN4,0
She's one of a kind.,0
RT @AboutLibras: There is nothing better to a #Libra than someone who sticks to their word.,0
RT @makayla_sumner: I look alive. I'm dead inside. My heart has holes and black blood flows.,0
Hahaha @kk_black2 Brooke &amp; I love you!!! 😘😘😘,0
@jaynie_lauren calm down now,0
"RT @TheLifeDiaries: If she text you first and you stop replying, don't expect her to text you first again.",0
I want a bucket hat &amp; a 40,0
RT @TravisBeck: RT if you'd like to see me do weekly videos!,0
RT @PacMan0218: This nigga @CallmePharaoh,1
Am I the only one that thinks ramen noodle flavor packet things look like condoms?,0
Moose,0
RT @UrFavritAsshole: SAGITTARIUS: UR MIND WANDERS INTO DARK PLACES WEN U GET BORED. KEEP URSELF BUSY SO U DON'T THINK AND STRESS URSELF OUT…,0
"I had a lot of reasons to give up on you. But I still chose to stay. You had a lot of reasons to stay, but you chose to give up.",0
"@BackpackingDad Feeling needy in a Saturday night, are we?",0
Fuckkkkkkk! I left my head phones -/-,1
@shy_RocksS Not only Indian Mom..,0
"@RTNBA damn, dem niggas dont play around.",1
Kmsl 😂😂 y'all crazy,1
RT @Calum5SOS: Just found out that we got our very first number one in aus and nz!!! This is the best feeling ever. Thank you thankyou than…,0
RT @Lavi_LaviBoii32: “@CraveMyHealth: Rt if you would wear these 👟🔥 http://t.co/q7EpJHHu70” 😍😍😍😍😘😘😘😘👌👌💯💯💯🙏🙏🙌🙌,0
RT @taegetit: Lol Nigga You Loosing 😂😂 #GetDea,1
At most amazing show performed by brilliant strong women..vagina monologue http://t.co/Nf2NZH0pgT,0
@hfelipe14 its fine just making sure they send,0
RT @TopRetweetMax: ➡️ RETWEET ➡️ ONLY ➡️ IF ➡️ YOU ➡️ FOLLOW ➡️ BACK ➡️ #RT2GAIN (Follow @TopRetweetMania) 24.28,0
Have another drink but make sure you make the smart choice when getting home. http://t.co/XGPf1qiHrA #yeg,0
Jeez sorry,0
@RonnYeil_ u gone miss him and want to text him lol,0
@AShyGuy33 is probably one of my favorite people now😂,0
"RT @UberFacts: There are more than 1,000 chemicals in a single cup of coffee. Of these, only 26 have been tested and half caused cancer in …",0
If It dnt rain tomorrow will be RUNNING it at the REC doe....,0
RT @NotWorldStar: Why she floppin like Lebron 😂https://t.co/mXyN4sKzFx,1
You're really the only person I want to talk to right now just wake up or whatever the fuck 😩😡,1
I'm gonna watch Netflix now #kbai,0
RT @xoShaaan: I have done nothing all day ✌️,0
@BrentRivera LETS FRICK http://t.co/iqgc9IOlqr,0
SAM AND CAT WON OH MY GAWD IM SO AMAZED I LOVE THIS DAY UGH @ArianaGrande YOU DID GREAT KEEP GOING GIRL,0
RT @jasonv121: @JssVerduzco haha bk dare you to get my name bk dare bk bible! #itsofficial #itsofficial,0
"@justinbieber please follow me Justin

This would mean so much

Please !!!

FOLLOW ME PLEASE😭 

Ilysm 
44",0
one to in of all for they are your and rt,0
"I still care, i'm just done showing it.",0
RT @justinbieber: @pixaconha thank u,0
RT @krewellayasmine: my favorite lady in all the land @KrewellaJahan CC: @NastyGal ;D http://t.co/RAL86p5p0E,0
@ArianaGrande follow me please ily,0
"RT @omgRudeComedian: Life is just like a penis: Simple, relaxed and hanging freely, It's the women who make it hard.",1
please @justinbieber notice me,0
@katbandoni2 for you @anabellleeee,0
@justinbieber you're so cute,0
Hopefully today better than yesterday,0
@bigdaddyjaime @EricfromInsta cause I didn't sc you back?,1
I'm in a good mood I guess I'm not even tired,0
@hugyourlegs @taysbetter @Swiftie_Longliv @wonderstruck84 @frolickingswift stop tweeting TaCo. I can't take dat shit :p,1
@wwediva2020 thanks buddddy!!,0
RT @JoelGoodrich1: Love the view from this home gym in Beverly Hills! The home belonged to actress Janet Leigh (now for sale for $6.5m) htt…,0
RT @GuinnessIyer: Anyone out here a #Yale or #Stanford #alumnus? @TheresaTsui is looking for you! #RT #Asking #Urgent,0
#wornpanties Lynn: HOT PINK COTTON LACE PANTIES: HOT pink cotton panties with lace waistband. I’l... http://t.co/nrHPyzjcLx #usedpanties,0
RT @jonahalcalde: I'm so tired of people treating me differently because of what they have heard from someone else.,0
Bedtime for me bedtime for me,0
