text,label
text,0
rock me #Vote1DUK #KCA,0
murad still sleep . . im boutta wake him up.,0
My throat hurts so bad:(,0
RT @edsheeran: Innit RT @StuartCamp: @edsheeran performing at @1027KIISFM #WangoTango on May 10th at the @StubHubCenter! TICKET INFO:http:/…,0
"GOOD MORNING,GOOD AFTERNOON, GOOD EVENING....!!!! HAVE A GREAT WEEKEND....!!!!",0
RT @Extortion__: Who boyfriend ? 😂😂 http://t.co/KwiIdvh8xG,0
23 days till 1* :P,0
@MarkCreeed soooooo they're trying to familiarize you with it or something?,0
RT @ManUtd: Man of the Match 2/3: Retweet this to vote for Shinji Kagawa as #mufc’s best player against Villa. http://t.co/MkicuewZng,0
"Doing shit tonight, cause nobody fwm anymore 😔",1
Let me kiss youuuuuuu,0
"RT @nflnetwork: Tom Brady... or Aaron Rodgers?

We asked you to name the better QB.
And you said... http://t.co/IQrnMJCg5L",0
Me &amp; @SlatePaul just shook Claudio Yacob's hand. He's promised to never wash it again.,0
"If you want the respect of others, you must respect yourself first.",0
Waaaa RT @BelangiAK: With @ahmadabibi http://t.co/CFl9rKDpwD,0
"638 Bellflower Boulevard from 10:45 to 2:30 is the annual Mill Creek Spring fair! Games prizes and more, a perfect family fun Saturday😜",0
"RT @Drogbastic: Mata on Rooney: ""He's an important player for us. If he keeps scoring, we will move up the mid-table.""

He said mid-table, …",0
woohoo just ordered http://t.co/Cj5w9RoklY,0
"@Arevans13 I can only go by what I see and hear, and from that it is the majority",0
@SamLui17 he surely has to. May be biased but to me Kagawa looks &gt; then Mata its only Mata was playing with more creative players at Chelsea,0
@Mcloughlin_ hahahaha that'll be Manc that,0
@AlmightyXSavage any bull,0
"@CambsCC Nice Twitter badge! Would have been better though to have an LGBT badge though, after council voted to fly the flag! #equalmarriage",0
RT @nokidhungry: Tweet out loud! Join the conversation on Twitter and use the hashtags #TeamNKH and #NoKidHungry. http://t.co/YGzf0eJBMs,0
RT @MrGerald_: text me paragraphs of how you feel about me 😍😍😘🙊 man i love that shit &gt;,0
I just made a Scalloped Punch Blazer available for sale now in StarBazaar!  Can you guess my inspiration? http://t.co/OBedtGQbQo,0
"RT @iTunes_Codes_: #free #iTunes #codes 

Like us on Facebook to stay updated @ https://t.co/OWgfGLhiIT

Please RT :)",0
are u and hope friend ( @hopeeeR5 ) — I'd like to think so :) http://t.co/BJotWkRY6I,0
RT @Chris_DelGrosso: Everything you do now is for your future. Think about that.,0
"@Nikolai_Lantsov Welcome, lovely",0
RT @Wavvves_: How can we possibly bring peace to the world if we aren't even at peace with ourselves.,0
RT @ManUtd: Man of the Match 3/3: Retweet this to vote for Juan Mata as #mufc’s best player against Villa. http://t.co/n3BbjbzOTu,0
"RT @_loveMAYA_: ""@__Prettykeke: yes, I check favorites and all that's where the truth be at 😴😌👌"" 👏👏👏",0
"RT @TheJUNOAwards: For the 1st time ever, live stream The JUNO Gala Dinner &amp; Awards tonight. 35 awards not shown on TV will be awarded! htt…",0
RT @swearbystyles: 5SOS TOOK PUBERTY AND SMASHED IT http://t.co/cmRsQ4jQP3,0
"RT @Takeiyaaah__: @yrrePcirE Im sure, people don't GAF bout our safety. They're too busy tryna fit in.",0
Follow me @____laurr  #bestfriend 😘 http://t.co/fjxOVoECj9,0
"Concert @HorsforthMusic today!
Support your local #music school. #StarsOfTheFuture",0
Brass Band News: Newquay Band Open Day... http://t.co/dqn5e39ePq,0
@zwinks220 it looks like a lil dot but it hurts like a bitch,1
Wirral college students strengthen links with China http://t.co/oJ0FmcNNrK,0
Slovak voters turn out for cliffhanger presidential vote  #NewsPipeline,0
Fun Fact: A single Spiral Token is worth about .002 US Dollars; That means it takes 542 Spiral Token equal 1 Dollar...,0
8 mins til i watch Chelsea play,0
I make too many mistakes 😔,0
RT @TheWeirdWorld: Almost every element in your body was made in an exploding star.,0
Y'all go check out my sis at Walmart today 12-2pm for her magazine signing,0
RT @TheWorldStories: Just imagine how perfect this moment was. http://t.co/2eDHkyAlR3,0
"RT @MataStuff: Mata ""I'm very happy for Wayne he's a top scorer, a top player and a top guy. I knew that one day my first goal would come a…",0
Goodmorning love 😊,0
@katelyn_scott7 please😩,0
@ChinTiongson miss u 2 bbygirl 😭,0
RT @thatasianchulo: I gotta stop overthinking things,0
FUNNIEST ROUND EVER | Trouble in Terrorist Town #2 (+playlist): http://t.co/QCPbxop8yw via @YouTube,0
my only pren @n00bstahh http://t.co/kNqGJVkwZk,0
inventions's photo http://t.co/2mGNTKcPEl,0
I lost two followers in the last day.,0
"Play Safe""@mal_samm: Aids is real""",0
Tianna tweeting some RS this morning,0
@brookewill10 I'm being serious. I'm glad you had a good night babe,0
"RT @onedrewxtruly: #FOLLOWTRICK    

$RT THIS 
$FOLLOW ME, @BiebzPolicy,@Ariana4Lyf1,@Allyson341 &amp; EVERYONE WHO RTS  
$GAIN   

#VoteAriana…",0
RT @bootymccaII: fight that bitch lydia http://t.co/A7yG0ahXHb,1
orals monday some laugh haaaaaaaa,0
RT @Anchored_Heart: If you are truly in a comminuted relationship and you want the most out of what you have.. A GREAT place to ... http://…,0
Who is the most beautiful woman? — my mom :) http://t.co/bKDrRC8fzO,0
"RT @bria_jeanne8: “@_FemaleTupac: So the FEDS👮can't find a lil girl👧or a big ass plane✈️❓

But can find a lil ass bag off weed 🌿between a n…",1
"In celebration of human achievement, I'll activate every laptop, iPad, mobile device &amp; incandescent light from 8:30 to 9:30 #EarthHour",0
Door is unlock dumbass!!!: 9:11:20 1/5/1970 2,1
RT @Iifepost: I'm always grateful when God lets me see another day.,0
#horses http://t.co/P7W0i4w0Kr,0
"Best Buy - Deal of the Day: Get 10,000 Twitter Followers only $39, More Info : http://t.co/NOAe5QtujF",0
"RT @wheretotravellb: Frozen? Antigua has 365 beaches: one for every day of the year, go #travel  : http://t.co/MwmzXNu6PJ http://t.co/5yJTs…",0
RT @TeamRunner4Life: After every race.... 😂😂 #TrackNation http://t.co/SZK7w1WXFd,0
RT @love_stuck_: Is It Cause A Nigga Handsome &amp; Wealthy ?,1
@SooThtsRhaa bout to na,0
figure skating is wonderful.,0
“@pullupifubad: BRUH MY BITCH DIED DAWG😔 RIP http://t.co/Mr6NQR35VA” you're retarded as fuck for this especially since she's been dead,1
I don't talk around alot of people i don't know,0
"RT @itstweetsfunny: A naked girl can get 100k rt's, how many can Jesus get? 🙏❤ http://t.co/2SoQmHFURz",0
@jai4president MENTION ME (rideajanoskian) #GayIsOkayLuke #GayIsOkayLuke #GayIsOkayLuke #GayIsOkayLuke #GayIsOkayLuke #GayIsOkayLuke 10,0
@Blacklane Thanks for the follow!,0
gg #KCA #VoteTheWantedUK,0
Goodnight. ~,0
The girls in Plymouth on a night out are either stunning or look like they've crawled out between someone's toes. #plym,0
@Michael5SOS I laughed at your header,0
"@_@ RT@shinbone79: Swimming pool http://t.co/nH5lAJrOzU""",0
RT @OnlyMahomies143: 29 #KCA #VoteUKMahomies,0
"RT @youssefmokhttar: He was happy to see her walk away with him, because he once told her ""if you're happy, i'm happy""",0
RT @Chambave: Today's a good day then.. http://t.co/DnMKTrM1d9,0
Kabul on high alert as Taliban attack election commission Head Quarter - The Nation: BBC NewsKabul on high ale... http://t.co/99ZH22KlJW,0
RT @SecuteBelieber: retweet this if you want to gain just follow everyone who retweets this and follow everyone back who ever follows you,0
RT @SivaTheWanted: Keeping warm in @Burberry &amp; @AllSaints_  http://t.co/AyIK4sZ4Mx,0
“@OMGtrolls: me whenever I offend someone http://t.co/VSUKQUfwo6”,0
"RT @palkisu: Rahul tells ppl in Ghaziabad ""aisa neta chuniye jo aap ke saath mitti mein mil jaaye""!! please someone tell him what the expre…",0
8 Things You Never Knew Your iPhone's Headphones Could Do http://t.co/nALFP2miob,0
@NoBStout she's the best,0
RT @UtdIndonesiaJGJ: We are ready for you Bayern Munich!,0
☺️-They're so perfect.. #KathNiel #KathrynBernardo #DanielPadilla #Kath18  #Kathryn18 #Kathryn18BestDebutEver http://t.co/eSpX96i39f,0
"ini nah""@RealTalk: Never let the bullshit stress you.""",1
"""@Queen__Bean: Jealousy's the ugliest trait.""",1
Can this rain go away 😭😭😭,0
@worthyforbieber followed (;,0
nobody sees what we see,0
My future: @MizzTwerksum 😆 need to get back in that studio asap !,0
I'd rather be at #Harrods right now,0
Excision was insane last night http://t.co/bS5ABb5BL0,0
I posted a new photo to Facebook http://t.co/cvDE79ELLK,0
RT @MarvelUK: #CaptainAmerica The Winter Soldier is the UK's no. 1 movie. Celebrate with a #Capcake http://t.co/D7eeUmpmzi,0
RT @linbea945: The original pic. Chinese hot pot in Seoul 2012 http://t.co/eFodRTsOLW,0
"@TheGameFor3 Thank you! The more money raised, the more tracks I will add! :D",0
RT @quuuu2: All media is worried on Rahul #Saharanpur rally; but they are fine with Muzzafarnagr Rioters being awarded Tickets #PaidMedia,0
RT @_Alexis731: Thank you God for another chance to get it Right.,0
RT @iloveamandjb: Seeing @jakemiller at Summerfest! #cantwait #July2nd,0
"RT @HabitOfMahone: If Austin wins this tonight, I'm gonna scream #KCA #VoteUKMahomies",0
RT @Crawster: EVERYONE GO PLAY ON atlantismc.eu! @KrucialGamesTV and @ImHazza136 new server :D,0
"@JMRamos1701D @realrickmedina @PaulSchrier @felixryan @Morphin_K @RangerCommandPH @PowerMorphicon You, too!",0
RT @_Jazzonce: “@TrustJo: Dude Just Offended 99.9% Of Twitter😂😂😂😂😂😂 http://t.co/CTm9cgw68A”,0
RT @CenCoOfficial: @anibaressiralc Me either. Love ya! :* &lt;3,0
"RT @icrushedmyhalo: *on a date*

*we stare at our phones ignoring each other*

*wonders what his @ is*

*glances over and sees he's on Face…",0
@OffspringShoes Ok thanks for the quick answer !,0
RT @ohhhlivvv: I always wanted some red air maxx 😁,0
@Feli_the_fag *the line moves* so do u come here often,0
am I seeing  shit or did she delete her tweet,1
Im http://t.co/6ixG5xhPjC demi and taylor too at the same time,0
I dont want to be a reason why.,0
"""voting ends today"" 

[puts glasses on] 
[walks in slow motion] 
[bulding explodes behind] 

last mintue voting we got this 

#vote1DUK #KCA",0
