text,label
text,0
I posted a new photo to Facebook http://t.co/zHwzVtpkAC,0
The Radionics: .UTo,0
I love @OHudecz,0
"RT @RareHipHopPic: NAS, CEASE, BONE THUGS N HARMONY, DIDDY &amp; BIGGIE http://t.co/0bu5FpjJau",0
"RT @_r3cklessss: Sometimes, all you need is someone to let out your feelings to, a tight hug and a shoulder to cry on. It's okay not to be …",0
"Finally working out,  its been too long!",0
@Lovely_Bunches_ thanks love ya!,0
"RT @BestofGemini: #Gemini adores a heatedly good argument, not to inflict insults or to dominate but simply as a magnificent workout for th…",1
RT @OutOfStateMoney: pretty girls smoke for free,0
@AustinMahone AUSTIN CARTER MAHONE PLEASE FOLLOW ME 'CAUSE I CAN'T LIVE ANYMORE WITHOUT YOU FOLLOW ILYSM. BRAZIL LOVES YOU x28,0
RT @Jakstar94: The first person who had twins must have been like http://t.co/bM4gvOs4qI,0
"@ShawnHutcheon Cammalleri is a UFA, would Giordano have been part of it?",0
There will be times in your life where you will have to choose between yourself and another person. Choose yourself.,0
This Insane New App Will Allow You To Read Novels In Under 90 Minutes | Elite Daily http://t.co/hTFsum5s7r via @elitedaily,0
RT @throughthedemi: Se a Demi cantar give me love na the neon lights tour eu vou ficar meio http://t.co/9oQdpDBK7C,0
I guess that’s just the motion.,0
I've collected $71792! Think you can do better? http://t.co/pqgutbAiJd #Android #Gameinsight #Androidgames,0
"RT @Scripture_Truth: When life is tough, PRAY. 
When life is great, PRAY.",0
@Andreas53Dr We're glad to hear it. You know where to find us if you need anything else.,0
RT @bbpriscilla_: Getting in a car with @ToreeRobles is like willingly giving your life away 😳😐,0
I added a video to a @YouTube playlist http://t.co/byoDDarBnT Count Scary Let's go Count!(Let's go Blue) University of Michigan FINAL,0
"RT @CP24: Wiggins goes through emotional roller-coaster in final home game
http://t.co/LPSakkzv3S",0
It sucks once you actually experience love because you compare everyone after to them.,0
@dimples_misfit oh.... *awkward silence* well she's very beautiful,0
"@TrevorTrunck Tim Riggins could kill both of them, while drunk.",0
RT @welltbh: Ellen Degeneres for president 2016,0
Bro this shit is bowing up my phone ...😑,1
United Nations to Consider Larger Peacekeeping Force for Central African ... - New York Times: AFPUnited Natio... http://t.co/Z13bwoyKVB,0
I've never understood this idea that people who treat gun wounds must know how to prevent them. http://t.co/JeeXrScgug,0
RT @abbybieber198: I'm sorry but look at the last comment on Justin's picture lol😂😂😂😂 http://t.co/s4ymIz03cP,0
"#MattsVideoOfTheWeek http://t.co/I1etPkX9YH PLEASE FOLLOW MATT #MattsVideoOfTheWeek #MattsVideoOfTheWeek #MattsVideoOfTheWeek 
🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸56",0
People who don't return the effort that one puts in annoy me so much,0
@loveehype you will not try to make me feel bad for being a good god mommy! lol satan. i rebuke you.,0
pain changes people,0
Just watched the love sex and magic music video,0
I liked a @YouTube video http://t.co/RP4smgYfoq Post Gym Problems,0
"RT @1000sFollowrs85: 1.DON'T #RETWEET THIS✔
2.UNLESS YOU WILL #FOLLOWBACK ALL RETWEETERS✔
#FollowPyramid 29",0
RT @ElandiamentOD: #MattsVideoOfTheWeek http://t.co/suwvK8DoAx GO WATCH @TheMattEspinosa VIDÉO NOWWW #MagconToFrance  AND MATT FOLLOW @espi…,0
RT @TylerBarnesVU: Spots in the #VUFab15 are limited...we will make sure #VanderbiltMen lay the foundation #AnchorDown http://t.co/5bQIPH5j…,0
@_Royalcurls tweets be on point👏,0
RT @AdFreak: Tennis gets quirky in USTA's new ads from the director of Napoleon Dynamite. http://t.co/nmDc9gqHjN http://t.co/uYhSzKKXRn,0
@Doonybug yeah you'll find the comments jacks makes interesting ((ps they're about boobs 😉)) and the fob poster is nice :))),1
"@FallenEnjolras *smiles a bit and kisses you back softly, wraps my arms around your neck again*",0
demi lovato could shave her entire head and then dye it blue and her hair would still look better than mine,0
@ddlovato Someday you're going to answer me?,0
RT @Isacastillo7: I can see u in red http://t.co/6yJ4eDKAUH,0
I'm just having a bad day,0
Learn exactly how you can get paid from online surveys -- http://t.co/8vuc9Z5pct,0
Gotta kick it with @thatsickid tonight.,0
I WANT TO KILL SOMETHING,0
Seperated from birth and now reunited with stan!! #pug#dog http://t.co/LGsm4aRbhJ,0
RT @DestinyShantel_: When my jam comes on in the car part 3  https://t.co/gEV6qlHTuS,0
"RT @xtcfans: Corrected SKYLARKING CD,here she is...
https://t.co/Z4lnazIZ3G
believe me,it's the best sounding CD version ever",0
RT @YourGooglePics: Bill Gates.. http://t.co/elIIiVklTu,0
SpongeBob ☺️,0
"@wayvs @Pinterest @lanaprowe @AngelChrista Thanks for the mention =)  I'm always ""anxious"" to share my great news!!",0
#wearethepeople Head of Sony's North American PlayStation business to step down - Reuters http://t.co/yhqATtRBKX,0
@gr8_darkness she played merideth on the office,0
WHATS THE LINK TO WATCH ARIANA PERFORM,0
RT @stefiiiiii_: I hate when people stare at me lol,0
@high_im_kii WHAT THE FUCK I MISS YOU,1
RT @NeverSobErFrank: @Bswanny71 @Realest_Alive97 @KoolQuanasia @ayitsbiggy @AllDay_Smilen @tyee_blondiee lmfao beat it qwa,0
"Stop the press!!  I might wear jeans tomorrow. Those of you that know me, know this is a great achievement!!",0
We can't stop  #VoteJennette #KCA,0
“@YoungPlatinum: New STD affects breasts http://t.co/FPeXeZzq9U”😩😩😩😩 what the fuck!!!,1
#wearethepeople Google Glass Knows How You're Feeling Now - Auto World News http://t.co/dn1u9SjtYo,0
hardly been on twitter lately oops,0
"@john @shots is incredible! It's great, I love... This  is for you, I hope you like it :) please follow me !!!!!!!! http://t.co/DAcAuNOKdB",0
@CoolestKidJoy aww thank you boo 💞,0
Today needs to end.,0
2014 Preview: Los Angeles Dodgers #Dodgers [HardballTalk] http://t.co/AaABJOWne9,0
@TheMattEspinosa http://t.co/wZPDwAO52D  #MattsVideoOfTheWeek GO WATCH AN FOLLOW THEM @Mr_Carterr @TheMattEspinosa,0
@CityBoyZed cookies thats shittin on mcdonalds ones fasure 😂,1
RT @basedniggers: True friendship http://t.co/2TXAxTF4Ns,0
Really good session tonight! I'm hurting now tho 💪👊👍,0
"RT @jamesapgrs: Find Retweeters, Mentions, Replies and more. Using the Connect is fine if you have the time to find things http://t.co/UI3w…",0
RT @ddlovato: SLAY and YAS are the new TWERK and TURNT and those were the new SWAG and YOLO..,0
