text,label
text,0
"@justinbieber tell me in spanish ""Mamacita"" or ""Mi amor"" please, my love #1",0
Nove- #freebreezy,0
Goodnight you all. Have a great and happy Sunday. Thanks for being a part of #latenightcrew. #peaceandLoVE,0
RT @justinbieber: Take a @shots of u watching the #BelieveMovie,0
#ShawnLagrua Historical Prospective for PresObama Enforce the Constitution Petition  http://t.co/NGr4bKBgSF  READ http://t.co/8fe9RwnErp,0
“@Drdxx_: @Herbenstein excuse me 😒”lol what?,0
RT @Joeshepherd28: Rt if you like oatmeal,0
@MariPajamo soooooo jealous.... you'd better have fun!,0
"Felt like I was in high school again! #extremething #theused... http://t.co/fKHxe15A63 ooorkr, justshot, music, love, like, ooo-rkr.ru,...",0
Kirra so slow lol,0
Watching Frozen 😁😍😊😄,0
Emely hella beautiful though 😌,0
RT @zackflannery: Moody just made me cry from his story,0
Fucking earthquakes need to cool it when I'm home alone.,1
@justinbieber follow me pleaseeeee,0
@NikBreh never heard of him lmao just thought the song was catchy,0
"#MentionSomeoneYoureThankfulFor You. We laugh, we cry, we fight, we makeup, we have our ups and downs but we are always there for eachother.",0
@flovwxr Whatcha want haaaa a.,0
"RT @_idgaflwxrs: rt for tbh♥
twitcon:  /50 
header :  /50",0
RT @paolalovesyoouu: Savannah understands perfectly what's happening rn👏 don't even have to explain anything👌😭💕 I love my🐵🐬 so much💁,0
#NowPlaying: Freak Asylum @LlorennaFreakz7 - You Better Leave http://t.co/cUu6oON2Gm #totalraduk #we,0
' this show is interesting,0
@tat2jones76 but did you cum yet,1
"RT @croon1: ""HORRORSCOPE"" now available for purchase in #kindle here: http://t.co/2dF0SwN0Gb #books #boston #redsox #oprah http://t.co/sAEC…",0
¤ #USA http://t.co/sVKfCYtXdm # 955 #Taco #Bell #Breakfast #Taco #Bell #president #tells #Canada #it #will #get #breakfast when #you #take …,0
RT @Zaybreal_BSJW: Selfie Game Outta Control http://t.co/tfauF0xSFL,0
"YOU NEVER ANSWER THE BRAZILIANS JUSTIN, WHY?? WE ARE SO FAR FROM YOU, AND NOT CHOOSE THIS, HURTS KNOW? @justinbieber 4",0
@justinbieber is never gonna notice me brb crying,0
earthhquaaakee,0
Dude is this a joke....,0
"@justinbieber you are the best Idol, I will never let you fall, always I'll be with you in the good and the bad x49",0
"I've gathered 3 Tokens! Can you do better? Download to find it out! http://t.co/RKusGEqKGr #ipad, #ipadgames, #gameinsight",0
Reactions when @justinbieber follows some one OAUABAYABATAISOSUSENLEOSWJAUWBSIDHDNSOSJSHANAOSUSBAYAHWLDISBSISHEOAYQBQOAUQNQPAUWBWWHAT,0
Happy long weekend.. HAHAHA [pic] — https://t.co/mvMqu9R1x3,0
"RT @SuperCerealMBP: Hey I just met you

And this is crazy

But manbearpig is growing to rip you apart limb from limb if you don't listen to…",0
@FRONZ1LLA you should get drunk with us in Mexico! #YOLO #comevisit,0
That's Why he steady coming back!,0
@justinbieber follow me cause I love u,0
1 daily follower. 0 unfollowers. Justunfollow doesn't miss a trick -via http://t.co/eax8pl9oXU,0
Reunited with my big bro 😁😁😁 http://t.co/UhTEAGOkXq,0
London dig uncovers new plague victim evidence- Bones found at home of NM woman missing since '52:  http://t.co/4uwyVfrABS,0
