text,label
text,0
"RT @TruZip: California Realtors: Truzip Offering FREE Homebuyer Leads.
http://t.co/wiizc3bcXt",0
@foweva_alone  pretty,0
Sorry.,0
just me &amp; my dog tonight 😂😭,0
RT @IceJJFish: Why all these 16 year olds hitting my inbox on fb like its cool,0
RT @NioFabuloso: My niece just slapped the shit out of Steph 😂😂😂,1
"#latepost Premium tea 
Visit us at http://t.co/mz2zCwyk2f… http://t.co/xGbHV36gw1",0
"RT @Kosderka18: Love that baseball is a team sport.  Somebody struggles, somebody else picks em up.  WU gave up 36 hits and swept the DH.  …",0
@KrislynNicolee @HopeBelieber true but I'm happy you guys were right this time 😏😏😏,0
"RT @JennJenn_21: If you have not heard of @RixtonOfficial you are missing out BIG TIME, because they are so amazing and so talented and I l…",0
Come home and my cats waiting for me🐱,0
RT @JustTrueThought: 🙋Your girlfriend is your bestfriend 👫 your realest homie ✊ your shotta 🔫 Never give that up for a hoe 👯 or an ex 🙅 cro…,1
"""@uppish_: Took a twitter break to go catch the D? Ok! Get it, girl.""

The realest!",0
"RT @Liam_Payne_Slay: ""One direction and 5SOS fandoms are the best"" 

""Teach our fandoms pls"" 

Tell me something I don't know 
#OneDirectio…",0
@Omgnatu nah but i want #oomf #oomf #oomf or #oomf to be my gf wtf,0
"Cool kids only, sorry. http://t.co/TjWhf0IGKk",0
My girls for life 😍😘💚🎉🎊 http://t.co/9zuhcLtbwJ,0
RT @FutureHendrixx: I can't fuck with people that waste my time..,1
RT @LexiGregg23: Prefect day with the perfect man and now to spend the night with my baby girl!  Love them so much :) @sammieosam @BrandonR…,0
"@diortememirp And it was, good sir XD",0
I have endless shorts and sweats tho ☺️,0
I heard @HAIMtheband on my tv...and it was a Target commercial....good job Target,0
"RT @ultra: Good night #Ultra2014!

See you tomorrow! http://t.co/srCAer1CP8",0
"I've gathered 15 Scrolls! Can you do better? Download to find it out! http://t.co/H4jqfOKUIV #android,#androidgames,#gameinsight",0
wanna see some nudes,0
@samronan_nj theres something very calming about listening to rain fall,0
@Beeweeezyy what's it gonna be?! 👀,0
"feeling a little buzzed. if i tweet stupid shit in the next few hours, i'll probably be drunk and i apologize in advance.",1
Wanhandredeytipayb #NashAguasASAPSmile  | NASH AGUAS WEEKEND,0
RT @MarvinHumes: Horan in the House! http://t.co/vJX4QvWAYY,0
How do you shoot a great white shark? Hold his nose until he turns blue and then you shoot him with a blue shark spear gun!,0
RT @phoggg: Faking getting hit with an elbow should be a technical.,0
RT @itsarifitz: all i gotta say is #allworkallplay all day baby.... can't wait to show you guys #OPENCALL,0
"My friend last word before he gone forever-""Chase Your Dream!!Never Give Up Your Dream!!!Do Whatever That Make You Happy!!""",0
How much time left? #COMEBACKHOME,0
"I can't do anything for longer than 5-10 minutes right now cause my feet , legs , and back will start hurting . 😫",0
RT @_MarquezVili: “@KatieCave5: Really?😒🔫 @_MarquezVili @WhoIs_Nyree @jeremypaul2015 @LordeHokage http://t.co/lVnjL556cy”😂😂,0
with all their lions and all their might and all their thirst,0
"Two-Legged Dog Has Best Day of His Life at the Beach: 
Duncan Lou Who is a pup born with two deformed hind leg... http://t.co/wJcb2mznXa",0
Kyle random kiss @kyle_turner52 http://t.co/M3rQEkVxQi,0
I pimp slap cunts 😒😒😒😒😒 http://t.co/7I6oBwHZSg,0
