text,label
text,0
"Don’t make me your number one, make me your only one.",0
There we go. NEEDED THAT.,0
"RT @PDCResults: (R): Players Championship 4, Last 64, Michael van Gerwen 6 (11) 3 Darron Brown #PC4",0
RT @mcjtabra: @SochauxUSA trust me it will..remember our senior boys winning africa cup of nations in 2012.there is a revolution taking pla…,0
"A photographer, his assistant and 230 orthodox rabbis walk into Yeshiva University… Another day, another cool job. #latkesforall",0
Why was the man sued by his horse? For palomino-money!,0
"“@9GAG: Friend: ""Omg, your parents are so nice!""
You: ""It's because you're here..""” 😝",0
Get well soon ya sayang :),0
3 hockey highlight in the top ten my life is complete,0
RT @SexReIationship: One night stands never compare to sex with someone you care about.,0
"Having fun playing #CSRRacing for iOS, why not join me for FREE?
http://t.co/Nog8F6AiTY",0
"""@K_Sessoms_: Understand dat dese guns shoot at anybody""",0
"Happy birthday, @DevonteAllen ! Hope it's good one 😋",0
Wellington to Tauranga One Way from $59.00; 23 Jun - 29 Jun. See http://t.co/Ge7OvPdJbo for conditions &amp; seat count.,0
@daniellized you're no complicated.,0
High line but no pressure on the ball in midfield? Basic coaching eluding Spurs under Sherwood.,0
"Alhamdulillah, Thanks God for everything :)  #latepost http://t.co/oXBggoYptk",0
Seriously how shit are Spurs,1
I need to hit the mall❗️,0
Can we back ? Old memory? Old places? Old time? Old love?,0
RT @ChaRLeZHuSsLe81: All facts 👍 @CreeplerElf @SexPaperWeed @KfromtheG,0
RT @HabitOfMahone: 2012 Austin is coming back I see 😭❤️,0
10 mysterious airplane disasters that remain unsolved http://t.co/w5MvV2ew50,0
RT @TedOfficialPage: basically.. http://t.co/vFEikis013,0
Honda Show Off NM4 Vultus Futuristic Bike: Honda has just announced their newest futuristic  motorcycle concep... http://t.co/MxZzgWE6RZ,0
"RT @Real_Liam_Payne: Lol just seen on twitter people think I'm fat?now I've never been called that before nice, on my way to mcdonalds then…",0
