text,label
text,0
Lol angie is trying to catch me slippping.,0
I ain't really worrying bout nothing.,0
LOL here comes WW3,0
...I kill for fun.,0
Ok you guys I really suck at using emojis so I'm going back to my basic face lol :-),0
“@EdvinCuellar: @Ayyee_lizz lol your a badass lol” oh iknow *flips weave*💁💁,0
ss My vote for #FanArmy goes to #LittleMonsters #iHeartAwards http://t.co/LEdJb5Sdrx,0
I should probably start packing considering we leave tomorrow morning 😑 @MickeyB___ #Indiana,0
RT @olive_youu14: if you ever see me touching my hair yell at me because I need to stop,0
RT @RonSlay35: Wow... big boys get tangled up and its a tech...smdh #ThisWouldGetMeGoing #PromiseIWouldTakeOver #LetsGoVols,0
RT @mccvnsweed: this girl met him twice shes so lucky i.. http://t.co/rkxTog2tIC,0
RT @itstattoos: Nice sleeve http://t.co/QBtAdJSa5I,0
RT @2KEY2TIMEZ: When yo Momma try to Whoop you but you too old for that shit🙅🙅🙅 http://t.co/WIfxGCUuqa,0
"oh god, what did I just partake in lmao",0
RT @banagoona2: Spring clean government: http://t.co/3ankq0Kvom,0
All these niggas crying over their bitch ! While she fucking the world . Lmao niggas pull y'all skirts up n say fuck these hoes!,1
RT @lmGirlCode: have you ever gotten to that certain point in the school year where you just http://t.co/HMQQIV5Z0j,0
@williamsba how many monitors you wanna run?,0
"Check out this weeks #TIMEFLIESTUESDAY, Paranoid - http://t.co/GnjPPDmRyj",0
Especially someone who has devoted themselves completely to you.,0
RT @Chemo: I wouldn't risk it though... http://t.co/2rOrJvKWrs,0
"@jcsh_ I wanna say, ""having lots of money also doesn't mean you actually worked for it"" ... But I won't",0
RT @LEAHn_on_me: @TheEllenShow if you really need another reason to come here then here you go....we have wawa. #getellentosssdm,0
RT @itsmovies: The Lucky One http://t.co/Iin9rUDjwX,0
RT @BurgerBusiness: Tm Hortons expands lunch menu with addition of Crispychicken Sandwich. http://t.co/8IWkOyIQfE,0
ss My vote for #FanArmy goes to #LittleMonsters #iHeartAwards http://t.co/BkxzkulHUN,0
It's a twiddle kind of night ☺️🎧,0
Wine and good convo with my girls 😊,0
actually....,0
@0025Mora tienes play 4? xD,0
RT @nyknicks: Fans @TheGarden are on their feet! #Knicks nearing their 7th straight win w/ a 9-pt lead over IND w/ 23 secs on the clock!,0
League needs to start manee,0
.well wasted friendship can't look at him the same anymore,0
@AmirTeveh not sure la.... Name list Kat library,0
Cro with the shutout 👏👏,0
@Clutchmore @samleitzke what.,1
Discount Designer Handbags - Handbags at FrogIt - Find all of the products that FrogIt has to offer from... http://t.co/xqxCnIuNPO,0
just got told that i was impossible....,0
RT @HottestCountry: Justin Moore❤ http://t.co/LjJhcbOWt2,0
Photo: I wanna suck on that http://t.co/1mH23v5Lsf,0
Afraid of your own anatomy?,0
Y'all want admit it anywayz lurking ahhh...hahaha,0
When Summer come Around Everybody Can't Wait Till School Then When School Get Here You Cant Wait till Summer,0
@Kyleesx1 OH SHIT THATS ME. ;),1
RT @BrendanMcGuiree: SEAN WATCHES GOSSIP GIRL. ALOT,0
RT @dietmountndew: My age is annoying,0
I thought Danny was supposed the be the crazy one? If that's the case then why is Jo acting like an irrational nut job? #Twisted,0
"@avrilanche that could be a benefit. Kane has been struggling. A few games off worked great for Hossa, should work awesome for Kane.",0
RT @justinbieber: @biebershistory thank u. U too,0
